state,year,total_cases,Group_Name,Sub_Group_Name,crime_type,Subgroup
Chhattisgarh,2007,310,Murder - Female Victims,2. Female Victims,Murder,
Dadra & Nagar Haveli,2007,4,Murder - Female Victims,2. Female Victims,Murder,
Daman & Diu,2007,1,Murder - Female Victims,2. Female Victims,Murder,
Delhi,2007,127,Murder - Female Victims,2. Female Victims,Murder,
Goa,2007,16,Murder - Female Victims,2. Female Victims,Murder,
Gujarat,2007,314,Murder - Female Victims,2. Female Victims,Murder,
Haryana,2007,167,Murder - Female Victims,2. Female Victims,Murder,
Himachal Pradesh,2007,35,Murder - Female Victims,2. Female Victims,Murder,
Jammu & Kashmir,2007,40,Murder - Female Victims,2. Female Victims,Murder,
Jharkhand,2007,237,Murder - Female Victims,2. Female Victims,Murder,
Karnataka,2007,505,Murder - Female Victims,2. Female Victims,Murder,
Kerala,2007,141,Murder - Female Victims,2. Female Victims,Murder,
Madhya Pradesh,2007,551,Murder - Female Victims,2. Female Victims,Murder,
Maharashtra,2007,1014,Murder - Female Victims,2. Female Victims,Murder,
Manipur,2007,20,Murder - Female Victims,2. Female Victims,Murder,
Meghalaya,2007,7,Murder - Female Victims,2. Female Victims,Murder,
Mizoram,2007,18,Murder - Female Victims,2. Female Victims,Murder,
Nagaland,2007,14,Murder - Female Victims,2. Female Victims,Murder,
Odisha,2007,372,Murder - Female Victims,2. Female Victims,Murder,
Puducherry,2007,10,Murder - Female Victims,2. Female Victims,Murder,
Punjab,2007,225,Murder - Female Victims,2. Female Victims,Murder,
Rajasthan,2007,319,Murder - Female Victims,2. Female Victims,Murder,
Sikkim,2007,3,Murder - Female Victims,2. Female Victims,Murder,
Tamil Nadu,2007,604,Murder - Female Victims,2. Female Victims,Murder,
Tripura,2007,50,Murder - Female Victims,2. Female Victims,Murder,
Uttar Pradesh,2007,899,Murder - Female Victims,2. Female Victims,Murder,
Uttarakhand,2007,77,Murder - Female Victims,2. Female Victims,Murder,
West Bengal,2007,647,Murder - Female Victims,2. Female Victims,Murder,
Andaman & Nicobar Islands,2008,2,Murder - Female Victims,2. Female Victims,Murder,
Andhra Pradesh,2008,830,Murder - Female Victims,2. Female Victims,Murder,
Arunachal Pradesh,2008,1,Murder - Female Victims,2. Female Victims,Murder,
Assam,2008,103,Murder - Female Victims,2. Female Victims,Murder,
Bihar,2008,637,Murder - Female Victims,2. Female Victims,Murder,
Chandigarh,2008,6,Murder - Female Victims,2. Female Victims,Murder,
Chhattisgarh,2008,363,Murder - Female Victims,2. Female Victims,Murder,
Dadra & Nagar Haveli,2008,4,Murder - Female Victims,2. Female Victims,Murder,
Daman & Diu,2008,0,Murder - Female Victims,2. Female Victims,Murder,
Delhi,2008,116,Murder - Female Victims,2. Female Victims,Murder,
Goa,2008,20,Murder - Female Victims,2. Female Victims,Murder,
Gujarat,2008,340,Murder - Female Victims,2. Female Victims,Murder,
Haryana,2008,185,Murder - Female Victims,2. Female Victims,Murder,
Himachal Pradesh,2008,36,Murder - Female Victims,2. Female Victims,Murder,
Jammu & Kashmir,2008,30,Murder - Female Victims,2. Female Victims,Murder,
Jharkhand,2008,266,Murder - Female Victims,2. Female Victims,Murder,
Karnataka,2008,624,Murder - Female Victims,2. Female Victims,Murder,
Kerala,2008,128,Murder - Female Victims,2. Female Victims,Murder,
Lakshadweep,2008,1,Murder - Female Victims,2. Female Victims,Murder,
Madhya Pradesh,2008,516,Murder - Female Victims,2. Female Victims,Murder,
Maharashtra,2008,1049,Murder - Female Victims,2. Female Victims,Murder,
Manipur,2008,19,Murder - Female Victims,2. Female Victims,Murder,
Meghalaya,2008,15,Murder - Female Victims,2. Female Victims,Murder,
Mizoram,2008,2,Murder - Female Victims,2. Female Victims,Murder,
Nagaland,2008,6,Murder - Female Victims,2. Female Victims,Murder,
Odisha,2008,545,Murder - Female Victims,2. Female Victims,Murder,
Puducherry,2008,8,Murder - Female Victims,2. Female Victims,Murder,
Punjab,2008,219,Murder - Female Victims,2. Female Victims,Murder,
Rajasthan,2008,287,Murder - Female Victims,2. Female Victims,Murder,
Sikkim,2008,3,Murder - Female Victims,2. Female Victims,Murder,
Tamil Nadu,2008,624,Murder - Female Victims,2. Female Victims,Murder,
Tripura,2008,63,Murder - Female Victims,2. Female Victims,Murder,
Uttar Pradesh,2008,840,Murder - Female Victims,2. Female Victims,Murder,
Uttarakhand,2008,48,Murder - Female Victims,2. Female Victims,Murder,
West Bengal,2008,250,Murder - Female Victims,2. Female Victims,Murder,
Andaman & Nicobar Islands,2009,8,Murder - Female Victims,2. Female Victims,Murder,
Andhra Pradesh,2009,800,Murder - Female Victims,2. Female Victims,Murder,
Arunachal Pradesh,2009,1,Murder - Female Victims,2. Female Victims,Murder,
Assam,2009,97,Murder - Female Victims,2. Female Victims,Murder,
Bihar,2009,672,Murder - Female Victims,2. Female Victims,Murder,
Chandigarh,2009,3,Murder - Female Victims,2. Female Victims,Murder,
Chhattisgarh,2009,326,Murder - Female Victims,2. Female Victims,Murder,
Dadra & Nagar Haveli,2009,6,Murder - Female Victims,2. Female Victims,Murder,
Daman & Diu,2009,1,Murder - Female Victims,2. Female Victims,Murder,
Delhi,2009,126,Murder - Female Victims,2. Female Victims,Murder,
Goa,2009,31,Murder - Female Victims,2. Female Victims,Murder,
Gujarat,2009,325,Murder - Female Victims,2. Female Victims,Murder,
Haryana,2009,221,Murder - Female Victims,2. Female Victims,Murder,
Himachal Pradesh,2009,39,Murder - Female Victims,2. Female Victims,Murder,
Jammu & Kashmir,2009,46,Murder - Female Victims,2. Female Victims,Murder,
Jharkhand,2009,201,Murder - Female Victims,2. Female Victims,Murder,
Karnataka,2009,679,Murder - Female Victims,2. Female Victims,Murder,
Kerala,2009,109,Murder - Female Victims,2. Female Victims,Murder,
Madhya Pradesh,2009,625,Murder - Female Victims,2. Female Victims,Murder,
Maharashtra,2009,1000,Murder - Female Victims,2. Female Victims,Murder,
Manipur,2009,18,Murder - Female Victims,2. Female Victims,Murder,
Meghalaya,2009,22,Murder - Female Victims,2. Female Victims,Murder,
Mizoram,2009,3,Murder - Female Victims,2. Female Victims,Murder,
Nagaland,2009,9,Murder - Female Victims,2. Female Victims,Murder,
Odisha,2009,460,Murder - Female Victims,2. Female Victims,Murder,
Puducherry,2009,10,Murder - Female Victims,2. Female Victims,Murder,
Punjab,2009,203,Murder - Female Victims,2. Female Victims,Murder,
Rajasthan,2009,328,Murder - Female Victims,2. Female Victims,Murder,
Sikkim,2009,6,Murder - Female Victims,2. Female Victims,Murder,
Tamil Nadu,2009,587,Murder - Female Victims,2. Female Victims,Murder,
Tripura,2009,57,Murder - Female Victims,2. Female Victims,Murder,
Uttar Pradesh,2009,955,Murder - Female Victims,2. Female Victims,Murder,
Uttarakhand,2009,51,Murder - Female Victims,2. Female Victims,Murder,
West Bengal,2009,693,Murder - Female Victims,2. Female Victims,Murder,
Andaman & Nicobar Islands,2010,5,Murder - Female Victims,2. Female Victims,Murder,
Andhra Pradesh,2010,624,Murder - Female Victims,2. Female Victims,Murder,
Arunachal Pradesh,2010,2,Murder - Female Victims,2. Female Victims,Murder,
Assam,2010,86,Murder - Female Victims,2. Female Victims,Murder,
Bihar,2010,662,Murder - Female Victims,2. Female Victims,Murder,
Chandigarh,2010,2,Murder - Female Victims,2. Female Victims,Murder,
Chhattisgarh,2010,357,Murder - Female Victims,2. Female Victims,Murder,
Dadra & Nagar Haveli,2010,1,Murder - Female Victims,2. Female Victims,Murder,
Delhi,2010,119,Murder - Female Victims,2. Female Victims,Murder,
Goa,2010,7,Murder - Female Victims,2. Female Victims,Murder,
Gujarat,2010,268,Murder - Female Victims,2. Female Victims,Murder,
Haryana,2010,213,Murder - Female Victims,2. Female Victims,Murder,
Himachal Pradesh,2010,28,Murder - Female Victims,2. Female Victims,Murder,
Jammu & Kashmir,2010,30,Murder - Female Victims,2. Female Victims,Murder,
Jharkhand,2010,256,Murder - Female Victims,2. Female Victims,Murder,
Karnataka,2010,731,Murder - Female Victims,2. Female Victims,Murder,
Kerala,2010,126,Murder - Female Victims,2. Female Victims,Murder,
Madhya Pradesh,2010,551,Murder - Female Victims,2. Female Victims,Murder,
Maharashtra,2010,1047,Murder - Female Victims,2. Female Victims,Murder,
Manipur,2010,19,Murder - Female Victims,2. Female Victims,Murder,
Meghalaya,2010,11,Murder - Female Victims,2. Female Victims,Murder,
Mizoram,2010,8,Murder - Female Victims,2. Female Victims,Murder,
Nagaland,2010,5,Murder - Female Victims,2. Female Victims,Murder,
Odisha,2010,536,Murder - Female Victims,2. Female Victims,Murder,
Puducherry,2010,4,Murder - Female Victims,2. Female Victims,Murder,
Punjab,2010,242,Murder - Female Victims,2. Female Victims,Murder,
Rajasthan,2010,306,Murder - Female Victims,2. Female Victims,Murder,
Sikkim,2010,8,Murder - Female Victims,2. Female Victims,Murder,
Tamil Nadu,2010,629,Murder - Female Victims,2. Female Victims,Murder,
Tripura,2010,63,Murder - Female Victims,2. Female Victims,Murder,
Uttar Pradesh,2010,859,Murder - Female Victims,2. Female Victims,Murder,
Uttarakhand,2010,44,Murder - Female Victims,2. Female Victims,Murder,
West Bengal,2010,893,Murder - Female Victims,2. Female Victims,Murder,
Andaman & Nicobar Islands,2001,7,Murder - Male Victims,1. Male Victims,Murder,
Andhra Pradesh,2001,2176,Murder - Male Victims,1. Male Victims,Murder,
Arunachal Pradesh,2001,67,Murder - Male Victims,1. Male Victims,Murder,
Assam,2001,1228,Murder - Male Victims,1. Male Victims,Murder,
Bihar,2001,3277,Murder - Male Victims,1. Male Victims,Murder,
Chandigarh,2001,10,Murder - Male Victims,1. Male Victims,Murder,
Chhattisgarh,2001,1108,Murder - Male Victims,1. Male Victims,Murder,
Dadra & Nagar Haveli,2001,3,Murder - Male Victims,1. Male Victims,Murder,
Delhi,2001,422,Murder - Male Victims,1. Male Victims,Murder,
Goa,2001,24,Murder - Male Victims,1. Male Victims,Murder,
Gujarat,2001,917,Murder - Male Victims,1. Male Victims,Murder,
Haryana,2001,675,Murder - Male Victims,1. Male Victims,Murder,
Himachal Pradesh,2001,83,Murder - Male Victims,1. Male Victims,Murder,
Jammu & Kashmir,2001,1225,Murder - Male Victims,1. Male Victims,Murder,
Jharkhand,2001,1216,Murder - Male Victims,1. Male Victims,Murder,
Karnataka,2001,1101,Murder - Male Victims,1. Male Victims,Murder,
Kerala,2001,333,Murder - Male Victims,1. Male Victims,Murder,
Madhya Pradesh,2001,1803,Murder - Male Victims,1. Male Victims,Murder,
Maharashtra,2001,1882,Murder - Male Victims,1. Male Victims,Murder,
Manipur,2001,225,Murder - Male Victims,1. Male Victims,Murder,
Meghalaya,2001,163,Murder - Male Victims,1. Male Victims,Murder,
Mizoram,2001,19,Murder - Male Victims,1. Male Victims,Murder,
Nagaland,2001,107,Murder - Male Victims,1. Male Victims,Murder,
Odisha,2001,745,Murder - Male Victims,1. Male Victims,Murder,
Puducherry,2001,15,Murder - Male Victims,1. Male Victims,Murder,
Punjab,2001,584,Murder - Male Victims,1. Male Victims,Murder,
Rajasthan,2001,1027,Murder - Male Victims,1. Male Victims,Murder,
Sikkim,2001,13,Murder - Male Victims,1. Male Victims,Murder,
Tamil Nadu,2001,1137,Murder - Male Victims,1. Male Victims,Murder,
Tripura,2001,231,Murder - Male Victims,1. Male Victims,Murder,
Uttar Pradesh,2001,6857,Murder - Male Victims,1. Male Victims,Murder,
Uttarakhand,2001,271,Murder - Male Victims,1. Male Victims,Murder,
West Bengal,2001,1315,Murder - Male Victims,1. Male Victims,Murder,
Andaman & Nicobar Islands,2002,10,Murder - Male Victims,1. Male Victims,Murder,
Andhra Pradesh,2002,1989,Murder - Male Victims,1. Male Victims,Murder,
Arunachal Pradesh,2002,57,Murder - Male Victims,1. Male Victims,Murder,
Assam,2002,1142,Murder - Male Victims,1. Male Victims,Murder,
Bihar,2002,3434,Murder - Male Victims,1. Male Victims,Murder,
Chandigarh,2002,22,Murder - Male Victims,1. Male Victims,Murder,
Chhattisgarh,2002,616,Murder - Male Victims,1. Male Victims,Murder,
Dadra & Nagar Haveli,2002,10,Murder - Male Victims,1. Male Victims,Murder,
Daman & Diu,2002,6,Murder - Male Victims,1. Male Victims,Murder,
Delhi,2002,411,Murder - Male Victims,1. Male Victims,Murder,
Goa,2002,24,Murder - Male Victims,1. Male Victims,Murder,
Gujarat,2002,1733,Murder - Male Victims,1. Male Victims,Murder,
Haryana,2002,655,Murder - Male Victims,1. Male Victims,Murder,
Himachal Pradesh,2002,98,Murder - Male Victims,1. Male Victims,Murder,
Jammu & Kashmir,2002,1144,Murder - Male Victims,1. Male Victims,Murder,
Jharkhand,2002,1182,Murder - Male Victims,1. Male Victims,Murder,
Karnataka,2002,1109,Murder - Male Victims,1. Male Victims,Murder,
Kerala,2002,299,Murder - Male Victims,1. Male Victims,Murder,
Madhya Pradesh,2002,1858,Murder - Male Victims,1. Male Victims,Murder,
Maharashtra,2002,2025,Murder - Male Victims,1. Male Victims,Murder,
